,Open,High,Low,Close,Volume
2025-04-16,39.646888573387244,40.61443172431166,38.104789466897124,39.273799896240234,28485200
2025-04-17,39.54740026666531,40.218959134784235,38.930561375491685,39.67673873901367,9123200
2025-04-21,39.1121281608114,39.24892809625934,37.90332074120128,38.18189239501953,6314000
2025-04-22,38.53508291940132,39.69663564114615,38.33112975520857,39.169334411621094,7394800
2025-04-23,41.104420461409596,42.062016219113396,39.98266857559573,40.2214469909668,7564000
2025-04-24,40.41793787511189,42.265968535925815,40.368193479854874,42.04709243774414,5206400
2025-04-25,41.915267420844884,42.38286928318493,41.661566075208306,42.10429763793945,4029600
2025-04-28,42.51718480437971,43.02955929627387,41.54964168646441,42.12171173095703,4662800
2025-04-29,41.81080335601381,42.96489077426856,41.68146489324919,42.726112365722656,3956800
2025-04-30,41.4775093645836,42.83555378210025,41.216350333939864,42.743526458740234,4774000
2025-05-01,42.967377122502505,44.04684606236025,42.880321584181615,43.362850189208984,8007200
2025-05-02,44.337856135867874,45.3825074471137,44.079182994816826,45.156166076660156,5773600
2025-05-05,44.61891976104628,45.332761570980374,44.24583107232737,44.656227111816406,4022000
2025-05-06,43.82797542162127,44.61892165353074,43.55437552018773,44.352787017822266,4218000
2025-05-07,44.27318919736424,45.1138835550315,44.218469221702215,44.718406677246094,5633600
2025-05-08,45.912290955217955,46.499283949565346,45.45463642952452,45.887420654296875,5271600
2025-05-09,45.93716798312042,46.5042624957706,45.86254948508656,46.163509368896484,2972000
2025-05-12,48.70548370902776,49.12334119468331,47.97920109685737,49.05867385864258,7312800
2025-05-13,49.22282820734101,51.04350265963516,49.11090237025009,50.43661117553711,5504800
2025-05-14,50.50127661920837,51.11065776715472,50.18539763672428,50.615692138671875,4325200
2025-05-15,50.27245601295711,51.52354644678983,50.10581018725571,51.4837532043457,4218000
2025-05-16,51.46136308095217,52.34683005810365,51.46136308095217,52.02099609375,4639600
2025-05-19,50.89924744023553,52.04835941904597,50.52118316245525,51.73496627807617,5797600
2025-05-20,51.68273073953461,52.3443422582648,51.55836784331861,52.31698226928711,3446800
2025-05-21,51.729987281939415,52.289620293649065,50.77985676448012,51.05594253540039,4792800
2025-05-22,51.26984815418334,51.85932706024284,50.96888827926954,51.416595458984375,4625200
2025-05-23,50.284893317593635,51.80958364929639,49.84464759954201,51.38923645019531,3871600
2025-05-27,52.04089467574492,52.95371784675415,51.57577867457443,52.861690521240234,5056800
2025-05-28,52.86169233336421,53.102956655513125,52.381653375952176,52.43388366699219,2746400
2025-05-29,53.16762642132613,53.262143441193516,51.68024717818737,52.058311462402344,3860000
2025-05-30,51.776819443507726,52.367200995883046,50.95227322763717,52.23268127441406,7512800
2025-06-02,52.05083220972844,52.51168101895296,50.81775508910305,51.8640022277832,4780000
2025-06-03,51.73198015296864,52.14798782327781,51.03946393520056,51.79176712036133,4966400
2025-06-04,51.82165768170568,52.22520925071756,51.31846116900411,51.32344436645508,4560800
2025-06-05,51.37824816425309,51.97361292427137,50.86757875561944,51.520240783691406,5034000
2025-06-06,52.46186084740155,53.286403232451775,51.991049441381584,52.76826095581055,6523600
2025-06-09,52.125566193748824,52.125566193748824,48.97436861094493,50.984657287597656,8046400
2025-06-10,50.71811133265716,51.43553584154373,49.955841852800305,51.079315185546875,4836400
2025-06-11,51.13661069273354,51.560091220003805,50.42416555116002,50.94479751586914,4220800
2025-06-12,50.24480872600754,51.19141472195513,49.99819558411666,51.0618782043457,2906000
2025-06-13,50.98465416923399,51.00956635298429,50.00566692510975,50.359397888183594,3406000
2025-06-16,50.98216979814009,52.556521908162495,50.914909935839134,52.22770309448242,4000400
2025-06-17,51.831620852266376,52.52911640937466,51.47041318032694,51.856529235839844,3683600
2025-06-18,51.90386478714363,52.661147375044635,51.51525899854535,52.41204071044922,4461800
2025-06-20,52.47182658937149,53.10953902933054,51.01704461058166,51.15654373168945,6912800
2025-06-23,51.04693326552498,51.54514655580072,49.12382966097534,50.34943389892578,5656200
2025-06-24,51.395687873150095,51.68464870970065,50.648367893768956,51.45547103881836,3353800
2025-06-25,52.133040597339544,52.960076518720115,51.644793680796965,52.0732536315918,4457000
2025-06-26,52.202791098858974,53.75721802675726,51.76436474532838,53.219146728515625,5889300
2025-06-27,53.66753644377375,54.40488998763044,52.770750997390465,53.76717758178711,11180300
2025-06-30,54.98282032300523,55.421246660462856,54.10596384702412,55.211997985839844,5775500
2025-07-01,55.37142773583629,56.41767494110659,52.95011071163208,56.11874771118164,8968700
2025-07-02,56.75645940519618,58.08170863529439,56.29810407191078,58.011959075927734,6904900
2025-07-03,58.201279460466225,58.27102902066576,57.08528269620777,57.7728157043457,4499800
2025-07-07,57.90234705900989,58.49023887179929,57.24470569225103,57.573524475097656,4166100
2025-07-08,58.05181016660799,58.171384091509346,56.12871038776595,56.41767120361328,4832700
2025-07-09,56.74649695352917,58.530101521378235,56.72656796493653,57.63331604003906,5163500
2025-07-10,58.051812177291,58.99841820968528,57.41409975999215,58.70945358276367,3706300
2025-07-11,58.48027684478599,59.40695390365484,58.17138702587364,58.39059829711914,4434700
2025-07-14,59.068167717403654,59.52652684287905,58.49024226511895,59.38702392578125,4432900
2025-07-15,59.09806729195538,60.1343481421523,58.290960319152546,59.41692352294922,6061100
2025-07-16,59.81548955744953,60.16424115960879,57.972101806986146,59.23756408691406,5991900
2025-07-17,59.04823779757378,60.15427191589867,58.58988248039623,59.21763229370117,8101600
2025-07-18,63.581984780973045,65.50508468449851,62.306556106793344,63.821128845214844,15014000
2025-07-21,62.57559054247395,63.1036992321418,61.48948538215219,61.77845001220703,7994600
2025-07-22,61.57916084470262,62.246768618591624,59.41691702709979,62.02755355834961,7216900
2025-07-23,62.36633997710876,63.113659914299994,62.04748377465909,63.09373092651367,4678500
2025-07-24,63.22326636999046,64.55847812041137,63.0140177033959,64.46879577636719,6355900
2025-07-25,64.72787413247221,65.72430078032825,64.130019664185,65.26594543457031,5152500
2025-07-28,66.07303682223937,66.37196780422384,64.91718606963614,65.15632629394531,3616000
2025-07-29,65.44529860523433,65.85382955321408,64.7179038510419,64.96701049804688,4651700
2025-07-30,65.33568913647345,66.581222334593,65.0168329418401,65.98336791992188,3832700
2025-07-31,66.342081071999,66.52143815386358,65.23604700085598,65.32572174072266,4059100
2025-08-01,63.482339200895744,65.94351417456667,61.997665662115544,63.38269805908203,7976400
2025-08-04,64.1001203740143,64.70794116429573,63.5421201499223,64.66808319091797,3006700
2025-08-05,64.79762465699461,65.26594640478997,62.984128435023145,63.48234176635742,4161400
2025-08-06,63.41258855514835,64.12005053267816,62.84462569419447,63.59194564819336,2898500
2025-08-07,64.07022536556501,64.2695076196574,63.014011933974714,64.02040100097656,3357900
2025-08-08,64.45883503351939,65.82393452220008,64.21968719139319,65.67447662353516,3529100
2025-08-11,66.371975700238,66.39190088707974,65.17626683431266,65.94351196289062,2660700
2025-08-12,66.84029848083314,67.8267586910818,66.46165150560896,67.3883285522461,3890300
2025-08-13,67.55772230497702,67.61750546456419,61.808336924568245,63.26312255859375,9351100
2025-08-14,63.123626471622416,64.3591933834381,62.57559257681388,63.69158935546875,3688200
2025-08-15,63.57201766770859,63.970586035519965,62.525770475738106,63.083770751953125,2786700
2025-08-18,63.00405147110946,63.73144240999792,62.5058381868517,63.4125862121582,3732300
2025-08-19,63.55208841688137,63.7414119067964,61.94784095531653,62.18698501586914,3856000
2025-08-20,61.91794875199735,62.33644990349963,59.845383385951834,62.2368049621582,5595500
2025-08-21,62.15709040820712,62.5755877424715,61.718660285378874,62.246768951416016,2660200
2025-08-22,62.37630330468876,63.15351863324082,61.17062803741757,62.17702102661133,3867500
2025-08-25,62.16705169627809,63.004050148300465,61.927911453452055,62.535728454589844,5090200
2025-08-26,64.26951951386414,64.26951951386414,61.628987346744076,63.07380676269531,12322400
2025-08-27,62.35638037360309,62.52577107631012,60.9414525814574,61.5692024230957,98998600
2025-08-28,62.25673682679648,62.735021164135325,61.78841508351914,62.5556640625,8207000
2025-08-29,62.336170853592606,62.66541302185986,61.49810437772194,62.09672546386719,6085000
2025-09-02,61.158882271605016,63.7628744746066,60.650058002541925,63.752899169921875,7413900
2025-09-03,63.80278396606445,64.12204319618479,63.02457698555072,63.80278396606445,5778600
2025-09-04,63.95243311859889,64.62088887693027,63.722963060996385,64.13201904296875,5551800
2025-09-05,63.95243979828746,64.07216629764946,59.80201630163299,60.02151107788086,11597800
2025-09-08,60.68996799707326,61.528030619623024,60.64008005494618,60.969322204589844,5544900
2025-09-09,60.71989702774225,62.29625778842456,60.52035667924794,62.06678771972656,4619700
2025-09-10,62.286286450348,62.80508986710684,61.85727600583427,62.3661003112793,3824700
2025-09-11,62.38605423518174,63.64315583668289,62.13662973712851,63.194190979003906,3946400
2025-09-12,63.15427928418362,64.28167902995476,62.884900381782614,63.55335998535156,3396700
2025-09-15,63.67308255185441,64.18191063516852,62.066788251295755,62.10669708251953,4073800
2025-09-16,62.106696314012105,62.575615560300044,61.41828611054061,62.33616638183594,4098800
2025-09-17,62.41598218331606,62.94476085402587,61.11897186465239,62.19648742675781,5261700
2025-09-18,62.55565920544937,65.38912139886169,62.46586624204874,64.77054595947266,6262000
2025-09-19,65.28935460244956,65.31928432228581,64.00232336667354,64.88029479980469,8102900
2025-09-22,64.04223672092066,64.61092427347383,63.33386825212856,64.0721664428711,4777000
2025-09-23,64.15197807241499,65.95780883725283,63.962413035458646,65.3392333984375,5352900
2025-09-24,65.9677895707594,66.19725583098659,64.10209170991588,64.31160736083984,3783300
2025-09-25,63.36379272607696,65.34921324585932,62.715291366728415,64.8204345703125,3126800
2025-09-26,65.42903847735559,66.1673328864724,64.95014007489785,65.9677963256836,3881100
2025-09-29,66.64622107197056,68.67154653963593,66.46663515005866,68.64161682128906,5912500
2025-09-30,68.541848681788,70.10823421735311,67.71376513733294,68.65159606933594,4920000
2025-10-01,67.70378563838369,70.3277285896572,66.89565270909692,68.62166595458984,7265500
2025-10-02,69.32005727004804,71.46510178406328,69.03072394964722,70.78666687011719,5379200
2025-10-03,71.60477871967868,71.61475783051894,69.37991654767119,70.19802856445312,3740600
2025-10-06,70.80663036597218,71.27554965769363,69.35996365621115,69.44976043701172,3723400
2025-10-07,69.9685566000945,70.24791842844476,68.40217107590163,69.19035339355469,3242100
2025-10-08,69.83885618173652,72.13356450101179,69.19035099482556,71.88414001464844,4341000
2025-10-09,71.47508011901664,72.55259572567468,71.28551507381812,72.45282745361328,3013900
2025-10-10,72.32312775003182,73.1811486610608,68.64162721132838,68.85114288330078,5043700
2025-10-13,70.61706199302846,70.77669732392923,69.5994133999464,70.35765838623047,2899200
2025-10-14,69.16042380890113,70.97623383169766,67.95321016408111,69.20033264160156,4746700
2025-10-15,70.46740347542855,70.79664562580164,68.63164290092033,69.60938262939453,4912500
2025-10-16,70.64699597186151,70.92635020594045,67.7237404021092,68.36226654052734,10050100
2025-10-17,66.5364776729705,68.86110807485302,65.05988138102926,66.0775375366211,9231400
2025-10-20,67.22488585736367,68.17270348720724,65.88797424359223,66.78590393066406,5249700
2025-10-21,66.59633763140617,67.43440024904376,65.72833768156904,66.11743927001953,3765400
2025-10-22,66.40676785888175,66.7958694196306,64.00231994789084,64.62088775634766,5747000
2025-10-23,64.88029271995833,67.80354784894186,64.86034211131742,67.01536560058594,8459300
2025-10-24,68.00309012384916,69.33002249914729,67.62396006362343,68.59172821044922,4238500
2025-10-27,69.77899333990923,70.09825636242084,68.99081108799571,69.33002471923828,3154500
2025-10-28,69.83885696669283,69.83885696669283,68.41214858418572,68.4919662475586,2595300
2025-10-29,68.5518252067416,69.46970549357621,67.98313767991677,69.03072357177734,2903400
2025-10-30,68.50194350429605,70.39756348118962,68.16272225005866,68.35228729248047,3071200
2025-10-31,68.8710884604558,70.73678637235801,68.12281499589312,70.19802856445312,3834500
2025-11-03,70.72680516471357,73.10132348160363,69.99848994342344,72.9117660522461,6430500
2025-11-04,70.7467698665468,71.92404621637604,69.14047545414917,70.52727508544922,4801700
2025-11-05,71.03609259731951,72.02381907061388,69.88874601840882,71.45513153076172,2769000
2025-11-06,70.88643586052046,71.06602177944607,68.56179802438082,69.69917297363281,3574600
2025-11-07,68.85114018084636,70.68690082235837,67.44438236617833,70.37761688232422,4294900
2025-11-10,71.6746198464658,72.13356761962797,70.21798169654745,70.96625518798828,3255200
